location,location_id
-,1
NANCY,2
LILLE,3
MONTPELLIER,4
NANTES,5
CAEN,6
BOURGES CNG,7
GEOP ST-OUEN,8
PLATEFORME SUD EST,9
EURISK ROUEN,10
CLERMONT FERRAND,11
MELUN,12
AVIGNON,13
ANGERS,14
PARIS LA DEFENSE,15
VALENCE,16
ORLEANS,17
ROUEN,18
PLATEFORME NORD EST,19
TROYES,20
TOULOUSE,21
RENNES,22
LYON,23
NICE,24
PAU,25
Vitrolles,26
PLATEFORME PCN,27
NIORT,28
CREIL,29
ANNECY,30
BORDEAUX,31
GUADELOUPE,32
ORLEANS CNG,33
TOULON,34
BAYONNE,35
MARSEILLE,36
REIMS,37
VANNES,38
TOURS,39
EURISK LILLE,40
MONACO,41
EURISK MARSEILLE,42
METZ,43
LE MANS,44
DIJON,45
BREST,46
MARTINIQUE,47
GRENOBLE,48
STRASBOURG,49
EURISK SIEGE TELETRAVAIL,50
EURISK DIJON,51
SAINT LO,52
EURISK BORDEAUX,53
BASTIA,54
EURISK SIEGE DT,55
CHABEUIL,56
LE HAVRE,57
EURISK MARTINIQUE,58
LA REUNION,59
LA ROCHELLE,60
EURISK REUNION,61
QANTEX,62
EURISK BREST,63
EURISK MONTPELLIER,64
EURISK AMIENS,65
GEOP NANTES,66
SAINT BRIEUC,67
LIMOGES,68
Reims Cormontreuil,69
EURISK COLMAR,70
EURISK TOULOUSE,71
EURISK CRETEIL,72
CLE Valence,73
EURISK LYON,74
GEOP LYON,75
GEOP TOULOUSE,76
EURISK ANGERS,77
EURISK SIEGE,78
EURISK ANNECY,79
PARIS NORD,80
NIMES,81
EURISK VILLENEUVE LOUBET,82
BOURG EN BRESSE,83
EURISK NANTES,84
BOURGES bureau,85
EURISK CHARTRES,86
EURISK BASTIA,87
CLE PEROLS,88
EURISK RENNES,89
TGS PARIS LA DEFENSE,90
VOXENS Chauny,91
EURISK METZ,92
EURISK LORIENT,93
CHALON SUR SAONE,94
EURISK CHAMBERY,95
GEOP NICE,96
SAINT-QUENTIN-EN-YVELINES,97
